source,target,sign
7,8,1
177,8,1
11,8,1
3,8,1
5,8,1
1,15,1
2,8,1
1,11,1
1,2,1
10,8,1
26,8,1
1,4,1
8,95,1
30,8,1
5342,8,1
1,9,1
6,8,1
1,10,1
13,8,1
43,8,1
8,85,1
33,8,1
2336,8,1
1,7603,1
1,95,1
1,22,1
1,30,1
1,58,1
24,8,1
7604,8,1
19,8,1
25,8,1
21,8,1
29,8,1
51,8,1
32,8,1
36,8,1
7595,8,1
1,17,1
7565,8,1
34,8,1
166,8,1
1,35,1
124,8,1
1,491,1
52,8,1
154,8,1
1,42,1
75,8,1
1,29,1
1691,8,1
142,8,1
62,8,1
105,8,1
1,38,1
11,7,1
1,87,1
66,8,1
133,8,1
174,8,1
1,18,1
11,15,1
1,20,1
3,7,1
1,113,1
1,124,1
1,117,1
1,37,1
1,67,1
1,179,1
1,90,1
177,3,1
2,7,1
1,57,1
1,68,1
1,154,1
1,96,1
15,2,1
1,89,1
1,75,1
11,5,1
1,44,1
1,116,1
1,156,1
11,3,1
1,142,1
3,5,1
11,2,1
1,174,1
177,2,1
2,5,1
2,3,1
177,4,1
15,9,1
11,4,1
26,7,1
7,95,1
10,177,1
177,9,1
11,9,1
10,11,1
177,26,1
2,4,1
15,95,1
30,7,1
11,26,1
15,22,1
22,7,1
177,95,1
58,7,1
5342,7,1
11,95,1
6,7,1
15,58,1
177,30,1
10,3,1
2,9,1
43,7,1
13,7,1
11,22,1
11,7603,1
15,6,1
10,2,1
26,5,1
26,3,1
145,7,1
177,6,1
11,30,1
13,15,1
3,95,1
11,58,1
5,58,1
7,85,1
2336,7,1
11,6,1
30,5,1
15,2336,1
177,43,1
13,177,1
3,30,1
3,58,1
22,5,1
11,43,1
2,22,1
15,33,1
2,95,1
11,13,1
5,6,1
11,145,1
2,7603,1
3,6,1
177,85,1
43,5,1
177,33,1
13,5,1
24,7,1
4,9,1
2,30,1
3,43,1
2,58,1
13,3,1
10,4,1
5,85,1
19,7,1
15,24,1
2,5342,1
33,5,1
15,17,1
177,24,1
25,7,1
13,2,1
15,19,1
11,24,1
145,2,1
2336,3,1
11,12,1
12,5,1
26,4,1
2,43,1
21,7,1
15,35,1
177,25,1
11,19,1
16,177,1
19,5,1
4,7603,1
11,17,1
12,3,1
4,95,1
2,85,1
15,491,1
2,2336,1
22,4,1
24,5,1
51,7,1
42,7,1
26,9,1
29,7,1
19,3,1
24,3,1
11,25,1
14,177,1
10,26,1
15,51,1
7603,9,1
27,7,1
36,7,1
22,9,1
31,7,1
11,21,1
7,7595,1
2,24,1
11,188,1
15,29,1
272,7,1
40,7,1
15,87,1
7,87,1
7,7565,1
11,14,1
15,272,1
15,40,1
10,22,1
177,42,1
177,29,1
145,4,1
177,798,1
11,42,1
177,51,1
17,2,1
11,491,1
104,15,1
7603,8,-1
7552,8,-1
177,7,-1
78,8,-1
11,177,-1
10,15,-1
15,7603,-1
15,5342,-1
145,15,-1
15,85,-1
11,85,-1
7,7604,-1
2336,5,-1
3,33,-1
177,7604,-1
14,15,-1
11,7564,-1
15,188,-1
177,188,-1
177,491,-1
3,7604,-1
15,31,-1
15,7552,-1
177,7565,-1
113,15,-1
177,88,-1
11,7595,-1
15,47,-1
