source,target,sign
4742,585,-1
6439,9856,1
8395,7192,-1
6373,9874,-1
4709,3875,1
5672,1057,1
8764,7692,1
565,4751,1
9478,5619,-1
5744,8395,1
7444,3806,1
5969,1876,1
7093,6174,1
869,2191,1
6035,3206,1
1311,3821,1
2191,6338,-1
1457,8764,1
902,7050,1
3430,689,1
3452,4742,-1
994,1994,-1
5969,5895,1
9874,420,1
7215,5022,1
565,8220,1
1905,1347,1
8673,6059,1
5608,6373,1
960,1457,-1
5981,8220,1
2604,810,1
2592,9478,1
1411,5128,1
1994,7778,1
1057,960,1
8181,3997,-1
7288,5711,1
4519,1500,-1
6059,5619,1
2878,1347,1
420,810,1
789,4798,1
5457,2604,1
5981,8975,1
3185,9478,1
6973,8395,1
3875,902,-1
6439,3185,1
9478,3997,-1
5744,4211,1
565,2191,1
3518,6373,1
5843,8118,1
3609,4943,1
9478,1905,1
8944,6373,1
2378,1153,1
5884,5981,1
8181,2604,1
3450,3206,1
5703,4742,-1
4709,4519,1
902,5022,-1
5619,5608,1
5672,4798,1
2191,9769,1
810,1057,1
5672,8975,1
4519,6174,1
1500,5457,-1
8975,8220,1
1905,6059,1
5711,1905,1
7397,3430,1
3450,5672,1
4798,8395,1
8911,1905,1
5981,4998,1
8220,6439,-1
5884,8181,1
5895,2126,-1
2216,7288,1
6035,6439,-1
6439,8395,1
3461,8181,1
9441,8395,1
5619,8220,-1
5884,8020,1
7778,1311,1
960,2878,1
1311,1905,1
5895,9441,-1
9874,3518,-1
1457,849,1
9524,960,1
960,1347,1
689,3821,1
2378,9441,-1
994,3821,1
5711,5608,1
565,3206,1
5711,6338,-1
6035,876,1
2126,3461,1
3383,7444,1
7778,4998,-1
1500,8181,1
6439,8495,1
3997,6439,1
7415,4742,-1
9984,585,1
1347,3206,1
8495,3781,1
4249,810,1
1311,5843,-1
8118,9214,1
7692,3430,1
7288,1994,1
8975,4249,-1
789,3461,1
2126,4980,1
5627,3450,1
869,6338,-1
3806,8944,1
1153,869,1
6373,3781,1
565,1153,1
6338,8395,1
8673,4980,1
3781,3821,1
902,9856,-1
7192,3518,1
899,7093,1
5703,2878,1
3430,4211,1
8911,2592,1
6174,3997,-1
5128,689,1
2592,3997,1
4798,3452,1
5884,2191,1
9856,9769,1
3781,3997,1
5022,5981,1
5797,3781,1
420,1493,1
1876,1980,-1
2592,6174,1
5884,4798,1
6834,4211,1
7093,689,1
8398,8495,1
2191,9984,1
9656,1876,1
1493,899,1
3806,689,-1
4211,9984,1
1311,3461,-1
8975,6338,1
1493,1457,-1
876,8764,-1
3206,4709,1
8944,5884,1
4211,9769,-1
849,9874,1
2878,7444,1
1876,4751,1
5797,810,-1
4249,2494,1
9769,8181,1
1411,5608,1
9874,9769,1
849,6174,1
1876,6373,1
6338,4742,1
5457,7692,1
6373,9214,1
2126,1311,1
8398,9984,1
7444,8020,1
5895,5711,1
3821,6973,-1
810,1980,1
3206,810,1
6373,3430,1
3518,8395,-1
2378,9214,1
5981,1493,1
1500,8395,-1
7397,5608,-1
9441,5884,1
3875,9478,-1
7192,8118,-1
6973,899,1
789,2216,-1
902,7093,1
9856,2216,1
4919,1311,1
9214,1493,1
2351,810,1
3806,3450,1
3875,420,1
6973,3781,1
1876,7444,1
3609,7093,1
1233,8181,1
1057,7288,1
1411,8944,1
4751,6035,1
1876,8118,1
585,1980,1
9214,9524,1
4798,3821,1
3518,4798,1
9656,3609,1
3518,5457,1
789,6174,1
3875,6973,1
8495,689,1
5843,7444,1
4249,7510,1
3452,5884,1
4998,8673,1
6414,960,1
5703,1980,1
3450,9524,1
9441,6338,1
917,3875,1
8911,7415,1
3430,2592,-1
2351,9478,1
2378,7444,1
994,4798,1
7215,3461,1
9478,8181,1
7050,1905,1
1980,5981,1
2494,585,1
9856,8764,1
4980,7215,1
876,9478,1
4943,8220,-1
7510,8118,1
8764,8975,1
5022,8395,1
8212,3461,1
4998,3206,-1
8020,7093,1
6414,9656,1
6373,5744,1
2783,6035,1
2494,5703,1
6439,7288,1
4211,1347,1
5895,6834,1
4519,5895,1
8395,3206,1
994,5627,1
585,6338,1
