source,target,sign
1751,2881,-1
9327,1462,-1
1141,8448,1
9062,4126,1
4897,3532,1
6347,923,-1
8224,9476,-1
3031,5979,1
8687,5024,1
7254,5548,1
3061,8349,-1
6705,4126,1
2917,3122,1
6815,5454,1
2917,1124,1
5960,4003,-1
4126,2541,1
1129,999,-1
2917,2823,1
5985,237,1
2541,2881,1
6815,2912,1
4700,7817,1
2834,6952,-1
7837,9748,1
5548,237,-1
8687,3503,1
5548,7817,1
1129,1599,-1
5985,9112,1
3122,2881,1
4922,5979,1
579,2917,1
7254,5985,1
6762,8301,1
3022,7148,1
5943,9136,-1
5315,5915,-1
6762,3537,1
2159,832,1
9112,1278,1
1477,1015,-1
6284,1124,1
3733,1680,1
1751,4922,-1
321,3925,1
5008,9062,1
9062,923,1
6815,9062,-1
5093,7837,1
5008,630,1
1278,6013,1
6705,6284,1
6705,6347,1
8920,9136,-1
9398,8031,1
999,6705,1
8657,1278,1
1751,393,1
7700,393,1
1278,923,1
1738,1129,1
6705,4897,-1
1124,9327,1
1015,8031,-1
9327,5915,1
9112,9470,1
630,2912,1
4295,4665,1
630,8031,1
5979,2424,-1
630,5980,1
2823,5408,1
832,7348,1
4665,3537,1
6875,3532,1
5024,4295,1
2268,2834,-1
8972,5408,1
630,393,-1
3733,3458,1
2087,4161,-1
8301,5408,1
2424,8810,1
9112,6875,1
9327,2845,-1
6941,2268,1
2881,5454,-1
2087,1477,-1
3537,2087,1
5915,2094,-1
9476,1824,1
9953,2159,1
5980,1129,-1
5188,3532,1
579,3537,1
2424,393,1
579,630,1
9136,3532,1
6941,5141,1
1462,1124,-1
4295,7837,1
9658,7837,1
3537,6284,-1
1129,9470,1
5115,2541,-1
9953,7817,1
5704,393,1
393,6284,1
3532,1124,1
1824,3537,1
8448,2424,1
2018,8920,1
1015,7817,-1
3122,7700,1
9658,1824,1
8089,832,-1
1015,6105,1
7148,3537,1
923,6284,-1
7837,6013,1
1751,4295,1
8920,9062,-1
9398,9112,1
8301,9476,1
6053,8301,1
7148,2693,1
1680,5008,-1
3479,6284,-1
9476,1129,1
2917,321,1
1824,5980,-1
4790,2094,1
1580,7837,1
2881,9062,1
6705,5960,1
7110,7700,1
6013,5024,1
8810,9476,1
7817,1141,1
6284,6875,1
1278,1599,1
5704,1015,-1
3537,8687,1
5115,3925,1
1124,6762,1
321,3532,1
1141,4897,1
1477,3061,1
2693,3503,-1
8687,2087,-1
9953,3479,1
7254,6815,1
2912,2693,-1
8657,6875,-1
5712,8224,1
8906,7254,1
1015,321,1
9953,6105,1
2268,8687,-1
8972,4790,-1
2845,5980,1
6952,4126,1
2268,832,1
3222,5024,1
7817,7700,-1
9748,2881,-1
4922,321,-1
9112,8349,1
5548,5141,1
1462,9476,1
1580,8448,-1
6105,7817,1
7837,3503,1
8810,393,-1
923,7110,1
8349,1462,1
832,8349,1
8448,8810,-1
149,1015,1
7254,5093,1
5979,1599,1
5825,999,-1
999,2159,-1
5985,8349,-1
6105,832,-1
3061,7348,-1
6013,321,-1
5454,2541,1
1599,6347,1
5896,3733,1
2823,149,-1
237,4700,1
9748,3061,1
7122,2087,-1
5825,1129,-1
2094,5408,-1
4665,9748,1
4161,9062,1
5825,2159,1
7122,8657,-1
4126,7254,1
5960,5315,1
8224,1124,1
5093,7348,1
6013,3022,1
5008,3222,1
2845,3537,1
9136,1015,1
5915,6284,1
9112,7110,-1
321,8301,-1
9476,5141,-1
5943,3925,1
9398,237,1
5141,5915,1
3479,2693,1
4665,8224,1
2159,9062,1
5093,6952,-1
1735,9470,-1
7348,5915,1
7817,3061,1
1599,6013,1
2823,2159,1
4790,7817,1
2481,9112,1
4003,7348,-1
5315,2424,1
2834,4003,-1
7148,5915,1
5408,1124,1
9398,2912,1
3925,7837,1
1824,7817,1
5980,5454,-1
4700,393,1
5979,2159,-1
6105,9062,1
9470,832,-1
3458,7348,1
9470,1278,1
4897,5408,1
4295,579,1
5093,2912,1
1599,393,-1
5980,4003,-1
3503,9062,1
4126,2823,1
1015,630,1
1738,2881,1
3031,5548,-1
8906,2481,1
8906,579,-1
8031,2823,1
7110,8920,1
5115,2845,-1
3925,4922,1
8031,3532,1
237,2268,1
