source,target,sign
47,760,1
760,80,1
636,760,1
62,80,1
531,636,1
41,760,1
1293,47,1
1293,80,1
47,79,1
79,80,1
47,8,1
47,940,1
80,940,1
1935,47,1
1293,636,1
47,50,1
1635,47,1
47,906,1
191,531,1
3245,47,1
629,80,1
3245,80,1
636,940,1
1469,80,1
1484,47,1
1484,80,1
1293,760,1
47,55,1
1389,47,1
3160,47,1
17,47,1
10473,80,1
3160,80,1
47,58,1
760,79,1
2415,80,1
1120,47,1
58,80,1
1004,47,1
1498,47,1
1004,80,1
1498,80,1
3709,47,1
1143,47,1
3054,47,1
80,929,1
47,807,1
4391,47,1
112,636,1
4391,80,1
47,5174,1
80,807,1
1332,80,1
3245,636,1
1240,636,1
1005,636,1
1469,636,1
2108,760,1
1935,760,1
191,530,1
5408,636,1
2358,760,1
3160,636,1
161,636,1
1755,636,1
1498,636,1
1293,41,1
501,636,1
636,9235,1
4391,636,1
636,807,1
1332,636,1
5174,636,1
41,79,1
191,2280,1
530,911,1
55,760,1
760,938,1
41,940,1
17,760,1
58,760,1
1120,760,1
1143,760,1
112,191,1
1268,911,1
531,770,1
531,940,1
1589,41,1
2280,3455,1
3217,3455,1
3245,41,1
1389,191,1
1469,41,1
1484,41,1
62,678,1
112,911,1
176,62,1
62,79,1
197,41,1
531,906,1
191,501,1
3160,41,1
1469,911,1
161,41,1
1332,191,1
2784,911,1
1417,911,1
3455,629,1
3217,660,1
176,530,1
1382,911,1
1389,911,1
1293,79,1
530,79,1
1484,531,1
41,9235,1
662,911,1
176,678,1
41,4391,1
41,807,1
2238,62,1
1701,911,1
41,5174,1
3455,3513,1
1004,911,1
1239,530,1
911,929,1
3160,3455,1
3455,3617,1
2280,530,1
1052,3217,1
62,850,1
79,8,1
62,906,1
112,660,1
5174,911,1
170,678,1
530,937,1
3709,531,1
531,9235,1
1293,2108,1
170,79,1
1469,660,1
1005,62,1
5174,531,1
1332,3455,1
1484,660,1
2784,660,1
3455,5174,1
2358,530,1
2280,940,1
2023,530,1
112,530,1
79,922,1
530,629,1
161,660,1
1589,678,1
1152,530,1
1589,176,1
47,937,-1
47,686,-1
686,80,-1
1310,47,-1
1930,47,-1
2895,80,-1
636,686,-1
50,760,-1
636,869,-1
62,911,-1
1313,636,-1
531,660,-1
531,62,-1
1755,760,-1
1310,760,-1
8,911,-1
1050,760,-1
1635,911,-1
41,686,-1
850,911,-1
1344,911,-1
3140,911,-1
531,850,-1
1240,531,-1
1005,531,-1
3140,531,-1
3245,3455,-1
1528,911,-1
1469,531,-1
5408,911,-1
10473,911,-1
3455,4303,-1
869,911,-1
2784,3455,-1
3513,531,-1
1105,531,-1
10473,531,-1
531,869,-1
14111,911,-1
1143,911,-1
2415,531,-1
50,62,-1
3455,869,-1
1239,176,-1
4391,911,-1
678,940,-1
2049,531,-1
176,940,-1
1313,531,-1
5971,911,-1
1143,531,-1
176,2280,-1
1332,531,-1
531,815,-1
8,940,-1
1544,62,-1
3455,8783,-1
1635,530,-1
1469,62,-1
2108,79,-1
1239,2280,-1
678,922,-1
1635,176,-1
8,937,-1
176,50,-1
1528,62,-1
1239,2238,-1
62,938,-1
660,869,-1
6167,62,-1
1382,62,-1
3140,530,-1
1005,530,-1
62,662,-1
170,2108,-1
8,922,-1
3245,678,-1
1240,678,-1
176,3245,-1
2049,62,-1
1239,1635,-1
8,906,-1
1469,678,-1
2108,937,-1
2013,940,-1
906,940,-1
1239,1589,-1
1589,940,-1
1484,678,-1
2784,678,-1
1469,79,-1
1635,3217,-1
1935,2108,-1
50,937,-1
2023,940,-1
3245,8,-1
1635,2238,-1
1484,79,-1
530,869,-1
1240,8,-1
2238,2358,-1
